fluorochrome	type	nm	norm_intensity
HCS NuclearMask Red stain	ex	622	100
Hoechst 33258	em	454	100
Hoechst 33258	ex	352	100
Hoechst 33342	em	454	100
Hoechst 33342	ex	352	100
Hypoxia Green	em	517	100
Hypoxia Green	ex	498	100
Image-iT DEAD Green viability stain	em	508	100
Image-iT DEAD Green viability stain	ex	490	100
Image-iT Lipid Peroxidation Sensor	em	522	25
Image-iT Lipid Peroxidation Sensor	em	548	23
Image-iT Lipid Peroxidation Sensor	em	597	100
Image-iT Lipid Peroxidation Sensor	ex	550	36
Image-iT Lipid Peroxidation Sensor	ex	588	100
Indo-1 (calcium bound)	em	404	100
Indo-1 (calcium bound)	ex	330	100
Indo-1 (calcium free)	em	480	71
Indo-1 (calcium free)	ex	346	100
JC-1	em	526	22
JC-1	em	595	100
JC-1	ex	498	82
JC-1	ex	592	100
JOE	em	548	100
JOE	ex	520	100
JOJO-1	em	544	100
JOJO-1	ex	501	37
JOJO-1	ex	530	100
Krome Orange	em	536	100
Krome Orange	ex	390	100
LDS751	em	711	100
LDS751	ex	560	100
LIVE_DEAD Fixable Aqua	em	525	100
LIVE_DEAD Fixable Aqua	ex	368	100
LIVE_DEAD Fixable Blue	em	442	100
LIVE_DEAD Fixable Blue	ex	343	100
LIVE_DEAD Fixable Far Red	em	671	100
LIVE_DEAD Fixable Far Red	ex	650	100
LIVE_DEAD Fixable Green	em	526	100
LIVE_DEAD Fixable Green	ex	331	18
LIVE_DEAD Fixable Green	ex	498	100
LIVE_DEAD Fixable Lime (506)	em	504	100
LIVE_DEAD Fixable Lime (506)	ex	410	100
LIVE_DEAD Fixable Near IR (780)	em	785	100
LIVE_DEAD Fixable Near IR (780)	ex	753	100
LIVE_DEAD Fixable Near-IR876	em	880	100
LIVE_DEAD Fixable Near-IR876	ex	439	23
LIVE_DEAD Fixable Near-IR876	ex	539	12
LIVE_DEAD Fixable Near-IR876	ex	838	100
LIVE_DEAD Fixable Olive (557)	em	564	100
LIVE_DEAD Fixable Olive (557)	ex	475	100
